time,strain
3.533217986,9.65E-07
3.53517123,1.27E-06
3.537124474,1.32E-06
3.539077719,1.64E-06
3.541030963,1.64E-06
3.542984207,2.44E-06
3.544937451,2.06E-06
3.546890695,2.21E-06
3.548843939,1.70E-06
3.550797183,1.81E-06
3.552750427,9.49E-07
3.554703671,1.18E-06
3.556656915,1.04E-06
3.558610159,1.70E-06
3.560563403,1.50E-06
3.562516647,2.57E-06
3.564469891,2.35E-06
3.566423135,2.43E-06
3.568376379,1.80E-06
3.570329623,1.99E-06
3.572282867,9.39E-07
3.574236111,1.11E-06
3.576189356,1.25E-06
3.5781426,1.87E-06
3.580095844,1.70E-06
3.582049088,2.53E-06
3.584002332,2.81E-06
3.585955576,2.41E-06
3.58790882,2.27E-06
3.589862064,1.99E-06
3.591815308,1.55E-06
3.593768552,7.69E-07
3.595721796,1.37E-06
3.59767504,1.31E-06
3.599628284,1.85E-06
3.601581528,2.00E-06
3.603534772,2.71E-06
3.605488016,2.50E-06
3.60744126,2.18E-06
3.609394504,1.77E-06
3.611347748,1.35E-06
3.613300993,4.55E-07
3.615254237,7.94E-07
3.617207481,1.23E-06
3.619160725,1.81E-06
3.621113969,2.04E-06
3.623067213,3.05E-06
3.625020457,2.35E-06
3.626973701,2.16E-06
3.628926945,1.73E-06
3.630880189,1.47E-06
3.632833433,8.49E-07
3.634786677,1.12E-06
3.636739921,1.35E-06
3.638693165,1.89E-06
3.640646409,1.54E-06
3.642599653,2.45E-06
3.644552897,2.12E-06
3.646506141,1.86E-06
3.648459385,1.63E-06
3.65041263,1.61E-06
3.652365874,1.10E-06
3.654319118,9.55E-07
3.656272362,1.40E-06
3.658225606,1.53E-06
3.66017885,1.61E-06
3.662132094,1.96E-06
3.664085338,2.31E-06
3.666038582,1.87E-06
3.667991826,1.82E-06
3.66994507,1.68E-06
3.671898314,1.38E-06
3.673851558,8.81E-07
3.675804802,1.47E-06
3.677758046,1.30E-06
3.67971129,2.05E-06
3.681664534,1.84E-06
3.683617778,2.78E-06
3.685571022,1.85E-06
3.687524267,1.96E-06
3.689477511,1.48E-06
3.691430755,1.27E-06
3.693383999,4.17E-07
3.695337243,9.52E-07
3.697290487,1.01E-06
3.699243731,1.63E-06
3.701196975,1.43E-06
3.703150219,2.45E-06
3.705103463,1.88E-06
3.707056707,1.95E-06
3.709009951,1.63E-06
3.710963195,1.41E-06
3.712916439,4.51E-07
3.714869683,6.76E-07
3.716822927,9.45E-07
3.718776171,1.48E-06
3.720729415,1.53E-06
3.722682659,2.25E-06
3.724635904,2.13E-06
3.726589148,1.78E-06
3.728542392,1.30E-06
3.730495636,1.41E-06
3.73244888,6.64E-07
3.734402124,5.11E-07
3.736355368,1.21E-06
3.738308612,9.45E-07
3.740261856,1.55E-06
3.7422151,1.43E-06
3.744168344,2.03E-06
3.746121588,1.33E-06
3.748074832,1.77E-06
3.750028076,1.27E-06
3.75198132,1.27E-06
3.753934564,5.86E-07
3.755887808,8.52E-07
3.757841052,1.13E-06
3.759794296,1.34E-06
3.761747541,1.68E-06
3.763700785,2.53E-06
3.765654029,1.46E-06
3.767607273,1.62E-06
3.769560517,1.33E-06
3.771513761,1.26E-06
3.773467005,8.96E-07
3.775420249,9.43E-07
3.777373493,1.18E-06
3.779326737,1.63E-06
3.781279981,1.35E-06
3.783233225,2.57E-06
3.785186469,1.81E-06
3.787139713,1.69E-06
3.789092957,1.09E-06
3.791046201,1.27E-06
3.792999445,6.40E-07
3.794952689,1.00E-06
3.796905933,1.41E-06
3.798859178,2.01E-06
3.800812422,1.91E-06
3.802765666,2.97E-06
3.80471891,2.33E-06
3.806672154,2.19E-06
3.808625398,1.71E-06
3.810578642,1.40E-06
3.812531886,1.01E-06
3.81448513,5.66E-07
3.816438374,1.29E-06
3.818391618,1.31E-06
3.820344862,1.84E-06
3.822298106,2.19E-06
3.82425135,2.41E-06
3.826204594,2.13E-06
3.828157838,2.06E-06
3.830111082,1.85E-06
3.832064326,1.70E-06
3.83401757,4.14E-07
3.835970815,1.46E-06
3.837924059,1.22E-06
3.839877303,1.72E-06
3.841830547,1.80E-06
3.843783791,3.24E-06
3.845737035,2.21E-06
3.847690279,3.04E-06
3.849643523,2.59E-06
3.851596767,2.63E-06
3.853550011,1.76E-06
3.855503255,2.33E-06
3.857456499,2.20E-06
3.859409743,2.60E-06
3.861362987,2.29E-06
3.863316231,3.61E-06
3.865269475,2.84E-06
3.867222719,3.60E-06
3.869175963,3.03E-06
3.871129207,3.31E-06
3.873082452,3.14E-06
3.875035696,2.83E-06
3.87698894,3.56E-06
3.878942184,3.46E-06
3.880895428,3.41E-06
3.882848672,4.41E-06
3.884801916,3.42E-06
3.88675516,4.05E-06
3.888708404,3.59E-06
3.890661648,3.98E-06
3.892614892,3.51E-06
3.894568136,3.49E-06
3.89652138,4.16E-06
3.898474624,3.65E-06
3.900427868,4.71E-06
3.902381112,4.25E-06
3.904334356,5.17E-06
3.9062876,4.47E-06
3.908240844,4.27E-06
